"pt","site","latitude","longitude","occ1","occ2","occ3","occ4","obs1","obs2","obs3","obs4","ord1","ord2","ord3","ord4","dtime1","dtime2","dtime3","dtime4","mean2018","max2018","No_trees_mean","No_trees_max","No_wires_mean","No_wires_max","No_SW_mean","No_SW_max","No_SE_mean","No_SE_max","No_N_mean","No_N_max"
"KR47","K",40.54370532,-74.66342129,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,8.08333333333333,7.2,7.98333333333333,7.33333333333333,64.8829956054688,54.6233329772949,64.8275680541992,54.6233329772949,64.8275146484375,54.6233329772949,64.827507019043,54.6233329772949,64.827507019043,54.6233329772949,64.883056640625,54.6233329772949
"KR48","K",40.54442327,-74.66247294,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,8.23333333333333,7.06666666666667,8.1,7.2,67.7021713256836,54.1137962341309,67.69189453125,54.1137962341309,67.6913681030273,54.1137962341309,67.6911315917969,54.1137962341309,67.6910934448242,54.1137962341309,67.7029342651367,54.1137962341309
"KR49","K",40.54514121,-74.66152457,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,8.38333333333333,6.93333333333333,8.28333333333333,7.06666666666667,66.7364959716797,62.3679313659668,66.7627029418945,62.3679313659668,66.7545471191406,62.3679313659668,66.7539215087891,62.3679313659668,66.7540512084961,62.3679313659668,66.7452697753906,62.3679313659668
"KR50","K",40.54585914,-74.66057618,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,8.53333333333333,6.8,8.45,6.93333333333333,63.3947639465332,51.7584838867188,66.3014678955078,63.9562606811523,63.4246292114258,51.7584838867188,63.4245300292969,51.7584838867188,63.424633026123,51.7584838867188,66.2774658203125,63.9562606811523
"KR51","K",40.54657706,-74.65962778,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,8.66666666666667,6.65,8.56666666666667,6.78333333333333,64.9071197509766,58.4511032104492,66.0365371704102,62.1914672851562,64.9396743774414,58.4511032104492,64.9396743774414,58.4511032104492,64.9402313232422,58.4511032104492,66.0185546875,62.1914672851562
"KR52","K",40.54729498,-74.65867935,1,0,1,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,8.8,6.55,8.7,6.66666666666667,63.8968849182129,54.4270133972168,64.013786315918,54.4270133972168,63.9418525695801,54.4270133972168,63.9418525695801,54.4270133972168,63.9418678283691,54.4270133972168,63.969799041748,54.4270133972168
"KR53","K",40.54873638,-74.65867203,0,1,1,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,8.93333333333333,6.41666666666667,8.81666666666667,6.55,63.9585876464844,55.4768905639648,64.0409317016602,55.4768905639648,63.9874801635742,55.4768905639648,63.9874801635742,55.4768905639648,63.9874801635742,55.4768905639648,64.0127868652344,55.4768905639648
"KR54","K",40.55017779,-74.65866471,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,9.06666666666667,6.28333333333333,8.96666666666667,6.4,63.2352027893066,50.5871429443359,63.1441421508789,50.5871429443359,63.1345481872559,50.5871429443359,63.1345481872559,50.5871429443359,63.1345481872559,50.5871429443359,63.244930267334,50.5871429443359
"KR55","K",40.54945987,-74.65961318,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,9.2,6.16666666666667,9.06666666666667,6.28333333333333,65.5739974975586,57.364444732666,65.6191329956055,57.364444732666,65.5748138427734,57.364444732666,65.5748138427734,57.364444732666,65.5748138427734,57.364444732666,65.6189270019531,57.364444732666
"KR56","K",40.54801847,-74.65962048,1,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,9.33333333333333,6.03333333333333,9.2,6.15,65.8223266601562,62.4130363464355,66.122200012207,62.8396682739258,65.8278121948242,62.4130363464355,65.8278121948242,62.4130363464355,65.8279113769531,62.4130363464355,66.1206970214844,62.8396682739258
